win,firstBlood,firstTower,KillDiff,AssistDiff,DamageDiff,TrueDamageDiff,HealDiff,CCTimeDiff,MinionDiff,CounterJungleDiff,DragonDiff,BaronDiff
1,1,1,18,28,27855,411,762,30,25,38,0,1
0,0,0,-9,-6,-5575,-862,-1154,-10,-60,-3,0,0
0,0,0,-32,-40,-38604,-6409,-18987,70,-78,-22,-1,0
0,1,0,-13,-22,583,-980,-18096,-15,-74,-12,-2,0
0,0,0,-4,-16,-11683,-473,-7165,-7,-57,-1,-1,-1
1,0,1,5,17,10852,-3125,2880,17,-65,-2,3,1
1,0,1,6,-1,-15524,462,27273,-41,26,41,3,2
1,0,1,17,35,43433,1925,15284,-19,-5,17,-1,1
0,1,0,-13,-13,-14824,-7606,-2610,-106,-73,-14,0,0
1,1,1,14,26,2424,4178,9460,11,70,14,1,0
1,1,1,12,11,14355,-202,1716,64,72,16,2,0
1,0,0,11,28,23125,1105,7077,44,12,15,0,1
1,1,1,9,11,3522,-572,13294,-3,63,16,1,0
0,1,0,-1,-9,7846,-1409,-22692,-21,11,10,1,-1
0,0,0,-16,-42,-37764,1711,-20665,-16,-66,-5,-1,-2
0,0,0,-27,-30,-15548,-3969,3765,-26,-20,-13,-3,-1
0,1,0,-19,-27,-19632,-574,-13280,-31,-95,-16,2,-1
0,1,0,-5,-8,-12791,-975,-4198,-1,-97,-11,-2,0
0,0,0,-13,-9,-16581,2257,-2064,-27,-120,-8,-2,0
1,1,1,6,4,12556,4120,-5150,33,-75,-8,1,1
1,1,1,13,26,18763,-955,5761,3,24,29,2,0
1,1,0,1,12,3451,-5281,-5430,-10,82,-5,2,0
0,1,0,-16,-5,-16213,-5058,-1441,-7,-66,-17,-2,0
0,1,0,-2,-8,-8918,94,-5554,-7,-137,-13,0,0
1,1,1,20,28,11066,1538,14501,-9,108,8,2,0
0,1,0,-21,-24,-15483,-328,-2055,-35,-33,-7,-2,0
1,1,0,10,10,2923,-274,7287,12,16,4,0,0
0,1,0,-8,-13,-13923,-5962,-7314,-23,-15,-12,1,-2
0,1,1,-15,-16,-4693,17,-18655,-27,-98,-7,1,-2
1,1,1,23,21,21307,64,6449,31,76,36,3,0
1,1,1,18,21,33612,149,3041,17,109,28,2,0
0,0,0,-22,-27,-10896,1949,-13146,26,-27,-26,0,-1
0,1,0,-27,-40,-11833,-1658,-6089,-29,37,-4,-3,-1
0,0,0,-15,-14,-22543,-50,9872,-8,-52,-24,-3,-1
1,0,1,3,25,6077,-448,-5997,-7,39,5,-3,0
1,1,1,15,29,17068,85,4446,-2,14,12,3,1
0,0,0,-14,-16,-17459,1208,-2887,5,-9,-24,0,0
0,0,0,-13,-15,-20899,-111,235,-37,-46,-43,-1,-1
1,1,0,18,46,15811,1330,15415,29,28,7,-1,1
0,1,0,-20,-23,-13845,-2179,-4301,-22,73,-11,-1,0
1,1,1,15,20,8900,-885,3111,-1,36,15,1,0
1,0,0,2,13,27230,-1113,7610,139,-17,21,1,-1
0,1,0,-11,-16,-18107,-417,-9431,0,-150,-15,-2,0
0,0,0,-23,-41,-14751,-3980,-13870,-53,17,-27,2,-1
0,1,1,-11,-7,-4685,202,-15341,-32,-51,-2,-2,0
0,0,0,-20,-27,-16657,-1380,-11593,-7,-64,-9,-3,-1
0,1,0,-1,-12,-15290,-1034,3856,15,78,-24,-2,-2
1,1,1,13,16,13513,2948,17355,-9,63,31,1,1
0,1,0,1,-5,-11562,-2432,-6680,-55,-7,5,4,2
0,0,0,-15,-15,-18555,-1213,-9458,-13,-143,-16,-1,0
1,1,0,3,9,24395,-7069,23287,-23,-52,-5,0,0
0,1,0,-15,-35,-17158,223,-5867,-33,-16,-28,-4,-1
0,1,0,-19,-36,-10904,-8756,-21369,-44,15,-35,-4,-1
0,1,0,-11,-15,-23735,3472,-23705,22,0,-16,-3,0
1,1,0,15,23,29872,942,2980,49,-87,-9,4,1
0,0,0,-8,-15,-12358,-537,16095,-19,64,-12,-2,0
0,1,0,-3,-9,-14784,-2835,-14368,65,-83,-13,-4,0
0,0,0,-6,-12,-4198,-2787,3571,-13,-38,3,-3,-2
1,0,1,19,30,31806,3860,6178,16,-17,12,1,0
0,1,0,-16,-4,16,2184,-3449,-9,-108,-3,0,-1
